owner_name	date	shares_held	change_in_shares	change_%	value_X1000
CKW FINANCIAL GROUP	06/30/2021	105	105	New	$2
PARKSIDE FINANCIAL BANK & TRUST	06/30/2021	104	104	New	$2
ANFIELD CAPITAL MANAGEMENT, LLC	06/30/2021	100	100	New	$2
BEDEL FINANCIAL CONSULTING, INC.	06/30/2021	100	100	New	$2
DB WEALTH MANAGEMENT GROUP, LLC	06/30/2021	100	0	0%	$2
HBC FINANCIAL SERVICES, PLLC	06/30/2021	100	0	0%	$2
INSTITUTIONAL & FAMILY ASSET MANAGEMENT, LLC	03/31/2021	100	-2,090	-95.434%	$2
NVWM, LLC	06/30/2021	100	0	0%	$2
SOUND INCOME STRATEGIES, LLC	06/30/2021	100	0	0%	$2
HOWE & RUSLING INC	03/31/2021	68	-182	-72.8%	$1
JJJ ADVISORS INC.	06/30/2021	64	64	New	$1
TARBOX FAMILY OFFICE, INC.	06/30/2021	63	63	New	$1
JOHNSON FINANCIAL GROUP, INC.	03/31/2021	50	50	New	$1
KISTLER-TIFFANY COMPANIES, LLC	06/30/2021	50	50	New	$1
LAKE POINT WEALTH MANAGEMENT	06/30/2021	50	50	New	$1
BOURGEON CAPITAL MANAGEMENT LLC	06/30/2021	36	0	0%	$1
CREATIVE FINANCIAL DESIGNS INC /ADV	06/30/2021	35	10	40%	$1
PRESTIGE WEALTH MANAGEMENT GROUP LLC	03/31/2021	28	28	New	$1
HM PAYSON & CO	03/31/2021	25	-27	-51.923%	$1
MCF ADVISORS LLC	03/31/2021	25	25	New	$1
ST. JOHNS INVESTMENT MANAGEMENT COMPANY, LLC	06/30/2021	25	0	0%	$1
WEST OAK CAPITAL, LLC	06/30/2021	25	25	New	$1
CHARTER OAK CAPITAL MANAGEMENT, LLC	06/30/2021	15	0	0%	$0
ANNAPOLIS FINANCIAL SERVICES, LLC	06/30/2021	10	-90	-90%	$0
BERKSHIRE CAPITAL HOLDINGS INC	03/31/2021	10	0	0%	$0
LEE FINANCIAL CO	06/30/2021	10	0	0%	$0
ROBLE, BELKO & COMPANY, INC	06/30/2021	5	0	0%	$0
HERITAGE WEALTH ADVISORS	06/30/2021	4	0	0%	$0
72 INVESTMENT HOLDINGS, LLC	03/31/2021	0	-29,203,752	Sold Out	
ABUNDANCE WEALTH COUNSELORS	06/30/2021	0	-1,030	Sold Out	
ANCHORAGE CAPITAL GROUP, L.L.C.	03/31/2021	0	-2,952,707	Sold Out	
AVEO CAPITAL PARTNERS, LLC	03/31/2021	0	-24,000	Sold Out	
AXIOM INVESTMENT MANAGEMENT LLC	03/31/2021	0	-48	Sold Out	
BEACON POINTE ADVISORS, LLC	03/31/2021	0	-10,689	Sold Out	
CAMBRIDGE INVESTMENT RESEARCH ADVISORS, INC.	03/31/2021	0	-242,956	Sold Out	
CANNON GLOBAL INVESTMENT MANAGEMENT, LLC	06/30/2021	0	-15,000	Sold Out	
CAPITAL ANALYSTS, LLC	06/30/2021	0	-2,500	Sold Out	
CAPITAL MARKETS TRADING UK LLP	03/31/2021	0	-43,100	Sold Out	
CENTRIC WEALTH MANAGEMENT	06/30/2021	0	-225,400	Sold Out	
CHANGE PATH, LLC	03/31/2021	0	-10,829	Sold Out	
COLONY FAMILY OFFICES, LLC	06/30/2021	0	-33,193	Sold Out	
COWEN AND COMPANY, LLC	03/31/2021	0	-230,900	Sold Out	
CRESCENT CAPITAL CONSULTING, LLC	06/30/2021	0	-600	Sold Out	
CVA FAMILY OFFICE, LLC	06/30/2021	0	-10	Sold Out	
DRIEHAUS CAPITAL MANAGEMENT LLC	03/31/2021	0	-14,115	Sold Out	
DUMAC, INC.	03/31/2021	0	-2,828,283	Sold Out	
ENLIGHTENMENT RESEARCH, LLC	03/31/2021	0	-69,300	Sold Out	
EQUITEC PROPRIETARY MARKETS, LLC	06/30/2021	0	-3,800	Sold Out	
EVOLUTION WEALTH ADVISORS, LLC	06/30/2021	0	-394	Sold Out	
FARMERS & MERCHANTS INVESTMENTS INC	06/30/2021	0	-200	Sold Out	
FNY INVESTMENT ADVISERS, LLC	06/30/2021	0	-7,000	Sold Out	
FREESTONE CAPITAL HOLDINGS, LLC	03/31/2021	0	-3,922	Sold Out	
GAGNON SECURITIES LLC	06/30/2021	0	-30,166	Sold Out	
GOTHAM ASSET MANAGEMENT, LLC	03/31/2021	0	-10,001	Sold Out	
GSA CAPITAL PARTNERS LLP	06/30/2021	0	-11,739	Sold Out	
GSB WEALTH MANAGEMENT, LLC	06/30/2021	0	-45,000	Sold Out	
HIGHBRIDGE CAPITAL MANAGEMENT LLC	03/31/2021	0	-870,468	Sold Out	
HOLOCENE ADVISORS, LP	03/31/2021	0	-1,046,948	Sold Out	
HONEYCOMB ASSET MANAGEMENT LP	03/31/2021	0	-110,728	Sold Out	
HUDSON BAY CAPITAL MANAGEMENT LP	03/31/2021	0	-611,300	Sold Out	
INSPIRE ADVISORS, LLC	03/31/2021	0	-100	Sold Out	
INTELLECTUS PARTNERS, LLC	03/31/2021	0	-10,000	Sold Out	
JUPITER ASSET MANAGEMENT LTD	03/31/2021	0	-127,999	Sold Out	
LAKEVIEW CAPITAL PARTNERS, LLC	06/30/2021	0	-10,200	Sold Out	
LEVERAGE PARTNERS ABSOLUTE RETURN FUND SPC	06/30/2021	0	-22,600	Sold Out	
LIBERTY STREET ADVISORS, INC.	06/30/2021	0	-104,706	Sold Out	
LITTLE HOUSE CAPITAL LLC	03/31/2021	0	-13,407	Sold Out	
M&T BANK CORP	03/31/2021	0	-10,000	Sold Out	
MAGNETAR FINANCIAL LLC	06/30/2021	0	-20,651	Sold Out	
MAN GROUP PLC	03/31/2021	0	-190,593	Sold Out	
MAPLELANE CAPITAL, LLC	03/31/2021	0	-350,000	Sold Out	
MARSHALL WACE, LLP	03/31/2021	0	-43,885	Sold Out	
MIRABELLA FINANCIAL SERVICES LLP	03/31/2021	0	-150,733	Sold Out	
MIRACLE MILE ADVISORS, LLC	06/30/2021	0	-28,159	Sold Out	
MITSUBISHI UFJ MORGAN STANLEY SECURITIES CO., LTD.	03/31/2021	0	-3,920	Sold Out	
MYRIAD ASSET MANAGEMENT LTD.	03/31/2021	0	-4,240,000	Sold Out	
NATIXIS ADVISORS, L.P.	03/31/2021	0	-12,754	Sold Out	
NEW ENGLAND RESEARCH & MANAGEMENT, INC.	06/30/2021	0	-13,420	Sold Out	
NOESIS CAPITAL MANGEMENT CORP	06/30/2021	0	-10,200	Sold Out	
ONYX BRIDGE WEALTH GROUP LLC	06/30/2021	0	-11,010	Sold Out	
PACIFICA PARTNERS INC.	06/30/2021	0	-100	Sold Out	
PEDDOCK CAPITAL ADVISORS, LLC	03/31/2021	0	-216	Sold Out	
PINNACLE FAMILY ADVISORS, LLC	03/31/2021	0	-51,850	Sold Out	
PRELUDE CAPITAL MANAGEMENT, LLC	03/31/2021	0	-29,469	Sold Out	
QUANTBOT TECHNOLOGIES LP	03/31/2021	0	-23,926	Sold Out	
REDWOOD INVESTMENT MANAGEMENT, LLC	03/31/2021	0	-14,032	Sold Out	
REGAL WEALTH GROUP, INC.	06/30/2021	0	-20	Sold Out	
REGENCY CAPITAL MANAGEMENT INC.\DE	06/30/2021	0	-2,765	Sold Out	
REGENTS OF THE UNIVERSITY OF CALIFORNIA	06/30/2021	0	-120,049	Sold Out	
REGIONS FINANCIAL CORP	06/30/2021	0	-24,050	Sold Out	
RVW WEALTH, LLC	06/30/2021	0	-12,211	Sold Out	
SAMALIN INVESTMENT COUNSEL, LLC	03/31/2021	0	-1,200	Sold Out	
SAWTOOTH SOLUTIONS, LLC	03/31/2021	0	-16,648	Sold Out	
SCULPTOR CAPITAL LP	03/31/2021	0	-241,100	Sold Out	
SEATOWN HOLDINGS PTE. LTD.	03/31/2021	0	-2,204,946	Sold Out	
SIGULER GUFF ADVISERS, LLC	06/30/2021	0	-5,079	Sold Out	
SOROS FUND MANAGEMENT LLC	03/31/2021	0	-18,457,516	Sold Out	
SOWELL FINANCIAL SERVICES LLC	06/30/2021	0	-5,009	Sold Out	
TFO-TDC, LLC	06/30/2021	0	-250	Sold Out	
THIRD POINT LLC	03/31/2021	0	-2,356,991	Sold Out	
TIBRA EQUITIES EUROPE LTD	03/31/2021	0	-50,100	Sold Out	
TOTAL CLARITY WEALTH MANAGEMENT, INC.	06/30/2021	0	-3,198	Sold Out	
TUDOR INVESTMENT CORP ET AL	03/31/2021	0	-73,926	Sold Out	
VALLEY BROOK CAPITAL GROUP, INC.	06/30/2021	0	-1,588	Sold Out	
VISTA EQUITY PARTNERS MANAGEMENT, LLC	03/31/2021	0	-260,381	Sold Out	
WADDELL & REED FINANCIAL INC	03/31/2021	0	-2,425,153	Sold Out	
WELD CAPITAL MANAGEMENT LLC	03/31/2021	0	-9,088	Sold Out	
WHITTIER TRUST CO OF NEVADA INC	06/30/2021	0	-50	Sold Out	
WOLFF WIESE MAGANA LLC	06/30/2021	0	-60	Sold Out	
